Timestamp,Engagement_Index,Geodesic_to_Ref,Geodesic_to_Running,Noise_Att_dB,Signal_Integrity,SQI
800906.191682,0.0064,0.32067775758835365,0.3174709800124703,-0.1,0.731,0.9975307473678626
800906.3927065,0.0128,0.3282254363980586,0.32184369264262375,-0.11,0.722,0.9974574581927269
800906.5917501,0.0183,0.3291880984001662,0.3200370075071399,0.54,0.731,0.9968174685603701
800906.7916544,0.0263,0.4534081447188501,0.4402651113452036,0.38,0.74,0.9970309262615732
800906.9913764,0.0308,0.3916765937653704,0.37628409141319596,0.69,0.711,0.9973642481348585
800907.1919417,0.0364,0.3432241651178185,0.3250080964348626,0.73,0.705,0.9977629647042305
800907.3919789,0.0408,0.37855202808805133,0.3581602738545432,0.35,0.711,0.9982993636721368
800907.5920169,0.0408,0.3266243870067842,0.3062237555472857,0.65,0.722,0.9980805684631375
800907.7919502,0.0469,0.34045003554728126,0.3170039301617994,0.15,0.701,0.998145160180811
800907.9920199,0.0363,0.3137701192899398,0.29559650862248565,-0.09,0.658,0.9981438348543723
800908.1919822,0.0372,0.3928366560725407,0.3742599269379555,0.37,0.605,0.99819740885316
800908.3918687,0.0306,0.46058487458819436,0.4452642037315952,0.11,0.585,0.9984084764061749
800908.5919675,0.0253,0.4787374951778586,0.466089724457927,0.84,0.609,0.9978179580080999
800908.7919528,0.0278,0.4809239053963364,0.4670071801591946,1.27,0.565,0.9976690742146334
800908.9920226,0.0313,0.48204208271361315,0.46641362412028303,0.76,0.547,0.9975193762873203
800909.1917948,0.0425,0.48041019128333706,0.45917117578484407,1.25,0.508,0.9973141252172162
800909.3913779,0.0386,0.49237682975345637,0.47305994137398655,0.69,0.499,0.9974294173931005
800909.5919537,0.0485,0.4827153412003075,0.4584855043069779,0.18,0.509,0.9969214948504647
800909.7921626,0.0625,0.48584832331094274,0.4546043110770875,0.6,0.523,0.9970429128366167
800909.9921409,0.0665,0.44003024112598244,0.40677223701957865,0.31,0.607,0.9968519821799556
800910.1919681,0.068,0.4444590265307967,0.41047838987325863,-0.15,0.633,0.997071207268785
800910.3917752,0.0517,0.4137958859744501,0.3879538942803315,0.5,0.632,0.9961863466588391
800910.5929796,0.0592,0.61327381961848,0.5836640437265197,0.15,0.573,0.9950546746212131
800910.7922235,0.0601,0.59086692278861,0.5608022301527363,-0.0,0.583,0.9958078894599248
800910.9920277,0.0496,0.5368907117769328,0.5120869692099486,0.48,0.622,0.9948374882157202
800911.1913257,0.054,0.548343555190335,0.5213436815082028,0.51,0.65,0.9959726134965818
800911.3915078,0.0695,0.5447339378229678,0.5099756353378975,1.13,0.615,0.9960618222423158
800911.5919656,0.0803,0.48119915071257924,0.4410528825007857,0.47,0.615,0.9955915892930662
800911.7916266,0.0791,0.49921997751868646,0.4596455253371341,0.01,0.6,0.9968187132295968
800911.9915048,0.0797,0.5038398757546966,0.46399038346839594,0.7,0.517,0.996635482370547
800912.1917636,0.0549,0.4963001984471679,0.4688459568587181,0.13,0.5,0.9975356623148363
800912.3916632,0.0287,0.41204344453868896,0.3977150554788222,0.43,0.507,0.9980290539103601
800912.591964,0.0196,0.3755791085186318,0.36577481959362595,1.43,0.539,0.9978237991149659
800912.7915325,0.0245,0.4485965884644073,0.43636287047087075,1.43,0.555,0.9980263923297108
800912.9913652,0.0419,0.4395242956724616,0.41856741713369633,1.09,0.52,0.9978068990580479
800913.1914686,0.0459,0.46328096711625105,0.4403475840615235,1.23,0.53,0.9975295794148292
800913.3918716,0.0536,0.5428547651671629,0.5160452711454431,0.42,0.557,0.9970836256515028
800913.5919749,0.0756,0.6175178880093966,0.5797303872322056,0.03,0.538,0.9958479157423702
800913.791866,0.0764,0.5902202920149059,0.5520421884868668,-0.57,0.576,0.9961036712185158
800913.9920272,0.0998,0.6911138984273538,0.6411998808740973,-0.33,0.629,0.9956621753371557
800914.1919879,0.1114,0.5911400762448593,0.5354391848328922,0.18,0.634,0.9954312100454341
800914.3920407,0.135,0.5255171650238705,0.45802290357127573,-0.09,0.643,0.9956071763179248
800914.5914654,0.1302,0.5509199509532223,0.48582882074464784,0.37,0.654,0.9956416821363198
800914.7919978,0.1573,0.6267467007309337,0.5481191292315294,0.5,0.63,0.9962014600639741
800914.9924428,0.1591,0.5633406726062827,0.4838082355193727,0.67,0.618,0.9971388400781205
800915.1920035,0.1774,0.45644253956590414,0.3677434745577886,0.17,0.604,0.9974933633222945
800915.3920014,0.1847,0.5118716500518284,0.41950629334681916,0.63,0.576,0.997339386441063
800915.5915222,0.1908,0.466670241757307,0.3712884620754465,0.76,0.572,0.997199368816603
800915.7917195,0.1892,0.5463099360691236,0.4516917081590143,0.25,0.562,0.9969563900880665
800915.9931094,0.1472,0.46407695765258916,0.3904578853132936,-0.47,0.631,0.9964371571103121
800916.1923396,0.1401,0.6455761438531658,0.5755045302152925,0.89,0.641,0.9964238690535724
800916.3919629,0.032,0.893929665636871,0.8779453163579,0.33,0.75,0.9969737492117156
800916.5917331,0.0313,1.1157254592337846,1.1000735315166394,-0.39,0.751,0.9971511895563582
800916.7924875,0.0507,1.3383056421177006,1.3129562243439241,0.58,0.771,0.9978661706515211
800916.9915227,0.0832,1.5876505799112057,1.546030805663844,0.39,0.805,0.9979923043946989
800917.1921448,0.1066,1.715050992244316,1.6617541917613756,0.23,0.794,0.9980280691863171
800917.3920542,0.1292,1.7889031722948154,1.7243174149220213,-0.11,0.789,0.9983661829886838
800917.5921423,0.1678,1.9446550493029102,1.8607588227841783,0.13,0.789,0.9982584626132069
800917.791949,0.2035,2.1271002685121205,2.0253262022082654,0.19,0.798,0.9979001666892637
800917.9929316,0.245,2.265309888482333,2.1428236010454773,0.17,0.798,0.9975103221150541
800918.1920188,0.2861,2.2902340856926884,2.1471984381914155,0.15,0.8,0.9971451109343388
800918.3920399,0.3451,2.211961104148436,2.039435693098097,0.35,0.768,0.9971265620381584
800918.5918091,0.3818,2.1932963104524856,2.0024126569253755,0.23,0.766,0.9967444182434111
800918.791984,0.4221,2.1347545742697887,1.9237157940613272,0.22,0.747,0.9969806883058007
800918.9919202,0.451,1.9817553689547456,1.75624879772265,0.22,0.66,0.9969487813126642
800919.1918386,0.4908,1.9776706912763509,1.732281548221131,0.04,0.674,0.9970261784245678
800919.3921476,0.5232,1.958201204477772,1.6966199207236747,0.25,0.637,0.9981076791111874
800919.5916951,0.5518,1.8257151178058013,1.549818593347573,0.5,0.62,0.9980241985056709
800919.7920769,0.574,1.5944478941782674,1.307460130715912,0.45,0.605,0.9979463369524698
800919.9919731,0.6027,1.354784154140711,1.0534262788159827,0.29,0.567,0.9981601419504846
800920.1918132,0.6245,1.3153495424710644,1.0031212238342477,0.5,0.554,0.9980694059613437
800920.3915558,0.6321,1.1458160173399474,0.8297677388294169,0.24,0.563,0.9977601321961264
800920.5915558,0.6575,1.17479516151349,0.8460689252795353,-0.4,0.56,0.9977675826784791
800920.7920013,0.6712,1.2457000855922737,0.9101240911478314,-0.33,0.526,0.9973984371659561
800920.9916812,0.6986,1.321384781614726,0.9720860795114593,0.03,0.668,0.996600557737699
800921.192448,0.7178,1.217943723753487,0.8590447878982495,0.07,0.631,0.9967305062082151
800921.3922713,0.7473,1.3879989520876956,1.014330290775095,0.29,0.619,0.996588146123337
800921.5925013,0.7651,1.3843113921024226,1.001766376751776,0.72,0.663,0.996545770528957
800921.7916772,0.7812,1.5060644191651975,1.1154455143043127,0.48,0.682,0.9975052738589585
800921.9930745,0.7976,1.5319356208761414,1.1331127296213575,0.05,0.678,0.9975715129942713
800922.1921748,0.8147,1.5434914035080745,1.1361516002607945,0.22,0.67,0.9975296538217785
800922.3920976,0.8133,1.5620145696374539,1.1553787905778579,-0.24,0.7,0.9977793035427569
800922.592026,0.856,1.4483156939717685,1.0203208222635962,-0.16,0.67,0.9978893272705207
800922.7918097,0.863,1.341537265962054,0.9100170295681477,0.15,0.702,0.9980366463774554
800922.9921561,0.8953,1.3730017848151945,0.9253626050336986,-0.12,0.736,0.9977587553437431
800923.1914454,0.8963,1.6707696589059837,1.2226051040221073,0.04,0.776,0.9979451596874427
800923.3917338,0.9163,1.6370473993589774,1.1789200134700653,0.18,0.82,0.998348125763346
800923.5914376,0.9418,1.726670100342391,1.2557843224670626,0.43,0.818,0.9982474619269097
800923.7916325,0.9714,1.7637351149120513,1.2780181969210922,0.18,0.764,0.9982294293536957
